2018-01-14 05:03:55.664 [restartedMain] INFO  [org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping:543] restartedMaincid - Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
2018-01-14 05:03:55.665 [restartedMain] INFO  [org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping:543] restartedMaincid - Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2018-01-14 05:03:55.678 [restartedMain] INFO  [org.springframework.web.servlet.handler.SimpleUrlHandlerMapping:362] restartedMaincid - Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-01-14 05:03:55.678 [restartedMain] INFO  [org.springframework.web.servlet.handler.SimpleUrlHandlerMapping:362] restartedMaincid - Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-01-14 05:03:55.697 [restartedMain] INFO  [org.springframework.web.servlet.handler.SimpleUrlHandlerMapping:362] restartedMaincid - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-01-14 05:03:55.753 [restartedMain] INFO  [org.springframework.scheduling.concurrent.ThreadPoolTaskScheduler:165] restartedMaincid - Initializing ExecutorService  'registrationTaskScheduler'
2018-01-14 05:03:55.846 [restartedMain] INFO  [org.springframework.web.servlet.view.freemarker.FreeMarkerConfigurer:127] restartedMaincid - ClassTemplateLoader for Spring macros added to FreeMarker configuration
2018-01-14 05:03:55.925 [restartedMain] INFO  [org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer:58] restartedMaincid - LiveReload server is running on port 35729
2018-01-14 05:03:56.099 [restartedMain] INFO  [org.springframework.jmx.export.annotation.AnnotationMBeanExporter:431] restartedMaincid - Registering beans for JMX exposure on startup
2018-01-14 05:03:56.099 [restartedMain] INFO  [org.springframework.jmx.export.annotation.AnnotationMBeanExporter:916] restartedMaincid - Bean with name 'statFilter' has been autodetected for JMX exposure
2018-01-14 05:03:56.099 [restartedMain] INFO  [org.springframework.jmx.export.annotation.AnnotationMBeanExporter:916] restartedMaincid - Bean with name 'dataSource' has been autodetected for JMX exposure
2018-01-14 05:03:56.102 [restartedMain] INFO  [org.springframework.jmx.export.annotation.AnnotationMBeanExporter:671] restartedMaincid - Located MBean 'dataSource': registering with JMX server as MBean [com.alibaba.druid.spring.boot.autoconfigure:name=dataSource,type=DruidDataSourceWrapper]
2018-01-14 05:03:56.102 [restartedMain] INFO  [org.springframework.jmx.export.annotation.AnnotationMBeanExporter:671] restartedMaincid - Located MBean 'statFilter': registering with JMX server as MBean [com.alibaba.druid.filter.stat:name=statFilter,type=StatFilter]
2018-01-14 05:03:56.102 [restartedMain] INFO  [org.springframework.boot.actuate.endpoint.jmx.EndpointMBeanExporter:431] restartedMaincid - Registering beans for JMX exposure on startup
2018-01-14 05:03:56.102 [restartedMain] INFO  [org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext:583] restartedMaincid - Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@204dba47: startup date [Sun Jan 14 05:03:56 CST 2018]; parent: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@6459b17a
2018-01-14 05:03:56.142 [restartedMain] INFO  [org.springframework.beans.factory.support.DefaultListableBeanFactory:828] restartedMaincid - Overriding bean definition for bean 'handlerExceptionResolver' with a different definition: replacing [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=org.springframework.web.servlet.config.annotation.DelegatingWebMvcConfiguration; factoryMethodName=handlerExceptionResolver; initMethodName=null; destroyMethodName=(inferred); defined in org.springframework.web.servlet.config.annotation.DelegatingWebMvcConfiguration] with [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=endpointWebMvcChildContextConfiguration; factoryMethodName=compositeHandlerExceptionResolver; initMethodName=null; destroyMethodName=(inferred); defined in org.springframework.boot.actuate.autoconfigure.EndpointWebMvcChildContextConfiguration]
2018-01-14 05:03:56.175 [restartedMain] INFO  [org.springframework.boot.context.embedded.tomcat.TomcatEmbeddedServletContainer:89] restartedMaincid - Tomcat initialized with port(s): 8092 (http)
2018-01-14 05:03:56.175 [restartedMain] INFO  [org.apache.catalina.core.StandardService:179] restartedMaincid - Starting service [Tomcat]
2018-01-14 05:03:56.175 [restartedMain] INFO  [org.apache.catalina.core.StandardEngine:179] restartedMaincid - Starting Servlet Engine: Apache Tomcat/8.5.23
2018-01-14 05:03:56.195 [localhost-startStop-1] INFO  [org.apache.catalina.core.ContainerBase.[Tomcat-1].[localhost].[/]:179] localhost-startStop-1cid - Initializing Spring embedded WebApplicationContext
2018-01-14 05:03:56.195 [localhost-startStop-1] INFO  [org.springframework.web.context.ContextLoader:276] localhost-startStop-1cid - Root WebApplicationContext: initialization completed in 93 ms
2018-01-14 05:03:56.198 [localhost-startStop-1] INFO  [org.springframework.boot.web.servlet.ServletRegistrationBean:190] localhost-startStop-1cid - Mapping servlet: 'dispatcherServlet' to [/]
2018-01-14 05:03:56.231 [restartedMain] INFO  [org.springframework.boot.actuate.endpoint.mvc.EndpointHandlerMapping:543] restartedMaincid - Mapped "{[/info || /info.json],methods=[GET],produces=[application/vnd.spring-boot.actuator.v1+json || application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.EndpointMvcAdapter.invoke()
2018-01-14 05:03:56.231 [restartedMain] INFO  [org.springframework.boot.actuate.endpoint.mvc.EndpointHandlerMapping:543] restartedMaincid - Mapped "{[/env/{name:.*}],methods=[GET],produces=[application/vnd.spring-boot.actuator.v1+json || application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.EnvironmentMvcEndpoint.value(java.lang.String)
2018-01-14 05:03:56.231 [restartedMain] INFO  [org.springframework.boot.actuate.endpoint.mvc.EndpointHandlerMapping:543] restartedMaincid - Mapped "{[/env || /env.json],methods=[GET],produces=[application/vnd.spring-boot.actuator.v1+json || application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.EndpointMvcAdapter.invoke()
2018-01-14 05:03:56.231 [restartedMain] INFO  [org.springframework.boot.actuate.endpoint.mvc.EndpointHandlerMapping:543] restartedMaincid - Mapped "{[/metrics/{name:.*}],methods=[GET],produces=[application/vnd.spring-boot.actuator.v1+json || application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.MetricsMvcEndpoint.value(java.lang.String)
2018-01-14 05:03:56.231 [restartedMain] INFO  [org.springframework.boot.actuate.endpoint.mvc.EndpointHandlerMapping:543] restartedMaincid - Mapped "{[/metrics || /metrics.json],methods=[GET],produces=[application/vnd.spring-boot.actuator.v1+json || application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.EndpointMvcAdapter.invoke()
2018-01-14 05:03:56.233 [restartedMain] INFO  [org.springframework.boot.actuate.endpoint.mvc.EndpointHandlerMapping:543] restartedMaincid - Mapped "{[/auditevents || /auditevents.json],methods=[GET],produces=[application/vnd.spring-boot.actuator.v1+json || application/json]}" onto public org.springframework.http.ResponseEntity<?> org.springframework.boot.actuate.endpoint.mvc.AuditEventsMvcEndpoint.findByPrincipalAndAfterAndType(java.lang.String,java.util.Date,java.lang.String)
2018-01-14 05:03:56.234 [restartedMain] INFO  [org.springframework.boot.actuate.endpoint.mvc.EndpointHandlerMapping:543] restartedMaincid - Mapped "{[/health || /health.json],methods=[GET],produces=[application/vnd.spring-boot.actuator.v1+json || application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.HealthMvcEndpoint.invoke(javax.servlet.http.HttpServletRequest,java.security.Principal)
2018-01-14 05:03:56.235 [restartedMain] INFO  [org.springframework.boot.actuate.endpoint.mvc.EndpointHandlerMapping:543] restartedMaincid - Mapped "{[/jolokia/**]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.actuate.endpoint.mvc.JolokiaMvcEndpoint.handle(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws java.lang.Exception
2018-01-14 05:03:56.235 [restartedMain] INFO  [org.springframework.boot.actuate.endpoint.mvc.EndpointHandlerMapping:543] restartedMaincid - Mapped "{[/trace || /trace.json],methods=[GET],produces=[application/vnd.spring-boot.actuator.v1+json || application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.EndpointMvcAdapter.invoke()
